farmland,crops,0m,0-0.3m,0.3-0.6m,0.6-0.9m,0.9-1.2m,1.2-1.5m,1.5-1.8m,1.8-2.1m,2.1-2.4m,2.4-2.7m,2.7-3.0m,3.0m-
³í,³íº­ ,0,0,86.25,86.25,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5
½Ã¼³ ,µþ±â ,0,42,51,57,63,63,63,63,63,63,63,63
ÀÎ»ï ,ÀÎ»ï ,0,100,100,100,100,100,100,100,100,100,100,100
¹ç,¼ö¹Ú ,0,100,100,100,100,100,100,100,100,100,100,100
¹ç,°¡À»¹«,0,73.3,100,100,100,100,100,100,100,100,100,100
¹ç,°¡À»¹èÃß ,0,100,100,100,100,100,100,100,100,100,100,100
¹ç,Âü±ú ,0,67.18787879,70.10909091,86.90606061,100,100,100,100,100,100,100,100
¹ç,¿Á¼ö¼ö,0,50,75,85,95,95,95,95,95,95,95,95
¹ç,Äá,0,77.5,86.11111111,91.85185185,97.59259259,97.59259259,97.59259259,97.59259259,97.59259259,97.59259259,97.59259259,97.59259259
¹ç,°í±¸¸¶,0,55,93.22033898,93.22033898,93.22033898,93.22033898,93.22033898,93.22033898,93.22033898,93.22033898,93.22033898,93.22033898
